name,seqid,value,gain
# diff of corresponding values in: 
# ../data/2018-04-25_GelGreen_50bpladder_replica2.csv
ctrl_dye_water,11,15,LOW
ctrl_dye_water,11,367,MED
ctrl_dye_water,12,369,MED
ctrl_dye_water,12,14,LOW
ctrl_dye_water,12,6359,HIGH
ctrl_dye_water,13,14,LOW
ctrl_dye_water,13,368,MED
ctrl_dye_water,13,6364,HIGH
ctrl_dye_water,14,6368,HIGH
ctrl_dye_water,14,15,LOW
ctrl_dye_water,14,368,MED
ctrl_dye_water,15,6371,HIGH
ctrl_dye_water,15,15,LOW
ctrl_dye_water,15,369,MED
ctrl_dye_water,16,6376,HIGH
ctrl_dye_water,16,369,MED
ctrl_dye_water,16,15,LOW
ctrl_dye_water,17,14,LOW
ctrl_dye_water,17,369,MED
ctrl_dye_water,17,6379,HIGH
ctrl_dye_water,18,6382,HIGH
ctrl_dye_water,18,370,MED
ctrl_dye_water,18,15,LOW
ctrl_dye_water,19,14,LOW
ctrl_dye_water,19,370,MED
ctrl_dye_water,19,6385,HIGH
ctrl_dye_water,20,6390,HIGH
ctrl_dye_water,20,14,LOW
ctrl_dye_water,20,369,MED
emptytube,1,41,LOW
emptytube,1,980,MED
emptytube,1,16858,HIGH
emptytube,2,16949,HIGH
emptytube,2,41,LOW
emptytube,2,986,MED
emptytube,3,16999,HIGH
emptytube,3,41,LOW
emptytube,3,990,MED
emptytube,4,41,LOW
emptytube,4,991,MED
emptytube,4,17035,HIGH
emptytube,5,17052,HIGH
emptytube,5,992,MED
emptytube,5,41,LOW
emptytube,6,17079,HIGH
emptytube,6,41,LOW
emptytube,6,994,MED
emptytube,7,17096,HIGH
emptytube,7,41,LOW
emptytube,7,994,MED
emptytube,8,17101,HIGH
emptytube,8,995,MED
emptytube,8,41,LOW
emptytube,9,17122,HIGH
emptytube,9,40,LOW
emptytube,9,997,MED
emptytube,10,41,LOW
emptytube,10,997,MED
emptytube,10,17133,HIGH
emptytube,11,41,LOW
emptytube,11,997,MED
emptytube,11,17136,HIGH
emptytube,12,41,LOW
emptytube,12,998,MED
emptytube,12,17151,HIGH
emptytube,13,17158,HIGH
emptytube,13,996,MED
emptytube,13,41,LOW
emptytube,14,17163,HIGH
emptytube,14,998,MED
emptytube,14,41,LOW
emptytube,15,17170,HIGH
emptytube,15,41,LOW
emptytube,15,999,MED
emptytube,16,41,LOW
emptytube,16,999,MED
emptytube,16,17177,HIGH
emptytube,17,17178,HIGH
emptytube,17,41,LOW
emptytube,17,999,MED
emptytube,18,17175,HIGH
emptytube,18,41,LOW
emptytube,18,999,MED
emptytube,19,17189,HIGH
emptytube,19,998,MED
emptytube,19,41,LOW
emptytube,20,998,MED
emptytube,20,41,LOW
emptytube,20,17192,HIGH
TU6,1,5611,HIGH
TU6,1,328,MED
TU6,1,13,LOW
TU6,2,5641,HIGH
TU6,2,329,MED
TU6,2,13,LOW
TU6,3,329,MED
TU6,3,13,LOW
TU6,3,5656,HIGH
TU6,4,330,MED
TU6,4,13,LOW
TU6,4,5667,HIGH
TU6,5,5675,HIGH
TU6,5,331,MED
TU6,5,14,LOW
TU6,6,5681,HIGH
TU6,6,13,LOW
TU6,6,330,MED
TU6,7,14,LOW
TU6,7,330,MED
TU6,7,5684,HIGH
TU6,8,13,LOW
TU6,8,332,MED
TU6,8,5691,HIGH
TU6,9,5696,HIGH
TU6,9,332,MED
TU6,9,14,LOW
TU6,10,14,LOW
TU6,10,332,MED
TU6,10,5699,HIGH
TU6,11,332,MED
TU6,11,14,LOW
TU6,11,5702,HIGH
TU6,12,5705,HIGH
TU6,12,14,LOW
TU6,12,332,MED
TU6,13,14,LOW
TU6,13,332,MED
TU6,13,5707,HIGH
TU6,14,332,MED
TU6,14,14,LOW
TU6,14,5709,HIGH
TU6,15,14,LOW
TU6,15,332,MED
TU6,15,5712,HIGH
TU6,16,13,LOW
TU6,16,333,MED
TU6,16,5713,HIGH
TU6,17,5715,HIGH
TU6,17,332,MED
TU6,17,14,LOW
TU6,18,333,MED
TU6,18,14,LOW
TU6,18,5717,HIGH
TU6,19,14,LOW
TU6,19,333,MED
TU6,19,5719,HIGH
TU6,20,5720,HIGH
TU6,20,14,LOW
TU6,20,333,MED
TU2,1,981,MED
TU2,1,41,LOW
TU2,1,16871,HIGH
TU2,2,16989,HIGH
TU2,2,987,MED
TU2,2,42,LOW
TU2,3,17083,HIGH
TU2,3,992,MED
TU2,3,42,LOW
TU2,4,42,LOW
TU2,4,997,MED
TU2,4,17166,HIGH
TU2,5,17239,HIGH
TU2,5,999,MED
TU2,5,41,LOW
TU2,6,17309,HIGH
TU2,6,1005,MED
TU2,6,41,LOW
TU2,7,1008,MED
TU2,7,42,LOW
TU2,7,17373,HIGH
TU2,8,17433,HIGH
TU2,8,42,LOW
TU2,8,1012,MED
TU2,9,17493,HIGH
TU2,9,42,LOW
TU2,9,1015,MED
TU2,10,1019,MED
TU2,10,43,LOW
