name,seqid,value,gain
# Integration time: 400ms
# Taking 20 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# All samples had a volume of 50ul. All samples had 10ul of dye stock,
# prepared by mixing 1ul of GelGreen 10000X and 99ul of water.
# DNA used was BIORON 50bp DNA ladder (free of loading dye)
# Samples were diluted with bottled water.
# Samples had already been sitting for 24 hours.
# DNA concentrations:
# TU1: 160    ug/ml
# TU2:  80    ug/ml
# TU3:  40    ug/ml
# TU4:  20    ug/ml
# TU5:  10    ug/ml
# TU6:   5    ug/ml
# TU7:   2.5  ug/ml
# TU8:   1.25 ug/ml
emptybox,1,14781,MAX
emptybox,1,642,HIGH
emptybox,1,37,MED
emptybox,1,1,LOW
emptybox,2,14876,MAX
emptybox,2,644,HIGH
emptybox,2,38,MED
emptybox,2,2,LOW
emptybox,3,14905,MAX
emptybox,3,645,HIGH
emptybox,3,38,MED
emptybox,3,1,LOW
emptybox,4,14927,MAX
emptybox,4,646,HIGH
emptybox,4,38,MED
emptybox,4,2,LOW
emptybox,5,14944,MAX
emptybox,5,646,HIGH
emptybox,5,38,MED
emptybox,5,1,LOW
emptybox,6,14952,MAX
emptybox,6,647,HIGH
emptybox,6,38,MED
emptybox,6,1,LOW
emptybox,7,14960,MAX
emptybox,7,647,HIGH
emptybox,7,38,MED
emptybox,7,1,LOW
emptybox,8,14967,MAX
emptybox,8,647,HIGH
emptybox,8,38,MED
emptybox,8,1,LOW
emptybox,9,14976,MAX
emptybox,9,648,HIGH
emptybox,9,38,MED
emptybox,9,1,LOW
emptybox,10,14983,MAX
emptybox,10,648,HIGH
emptybox,10,38,MED
emptybox,10,2,LOW
emptybox,11,14983,MAX
emptybox,11,648,HIGH
emptybox,11,38,MED
emptybox,11,2,LOW
emptybox,12,14992,MAX
emptybox,12,649,HIGH
emptybox,12,38,MED
emptybox,12,1,LOW
emptybox,13,14998,MAX
emptybox,13,649,HIGH
emptybox,13,38,MED
emptybox,13,1,LOW
emptybox,14,15004,MAX
emptybox,14,649,HIGH
emptybox,14,38,MED
emptybox,14,1,LOW
emptybox,15,15008,MAX
emptybox,15,649,HIGH
emptybox,15,38,MED
emptybox,15,2,LOW
emptybox,16,15007,MAX
emptybox,16,649,HIGH
emptybox,16,38,MED
emptybox,16,2,LOW
emptybox,17,15009,MAX
emptybox,17,649,HIGH
emptybox,17,38,MED
emptybox,17,1,LOW
emptybox,18,15009,MAX
emptybox,18,649,HIGH
emptybox,18,38,MED
emptybox,18,1,LOW
emptybox,19,15011,MAX
emptybox,19,650,HIGH
emptybox,19,38,MED
emptybox,19,1,LOW
emptybox,20,15013,MAX
emptybox,20,650,HIGH
emptybox,20,38,MED
emptybox,20,1,LOW
emptytube,1,13575,HIGH
emptytube,1,787,MED
emptytube,1,32,LOW
emptytube,2,13613,HIGH
emptytube,2,790,MED
emptytube,2,32,LOW
emptytube,3,13624,HIGH
emptytube,3,791,MED
emptytube,3,33,LOW
emptytube,4,13646,HIGH
emptytube,4,790,MED
emptytube,4,33,LOW
emptytube,5,13655,HIGH
emptytube,5,792,MED
emptytube,5,33,LOW
emptytube,6,13666,HIGH
emptytube,6,792,MED
emptytube,6,33,LOW
emptytube,7,13671,HIGH
emptytube,7,791,MED
emptytube,7,33,LOW
emptytube,8,13676,HIGH
emptytube,8,791,MED
emptytube,8,33,LOW
emptytube,9,13634,HIGH
emptytube,9,790,MED
emptytube,9,33,LOW
emptytube,10,13638,HIGH
emptytube,10,791,MED
emptytube,10,32,LOW
emptytube,11,13643,HIGH
emptytube,11,790,MED
emptytube,11,33,LOW
emptytube,12,13647,HIGH
emptytube,12,791,MED
emptytube,12,33,LOW
emptytube,13,13650,HIGH
emptytube,13,790,MED
emptytube,13,33,LOW
emptytube,14,13653,HIGH
emptytube,14,791,MED
emptytube,14,33,LOW
emptytube,15,13648,HIGH
emptytube,15,792,MED
emptytube,15,33,LOW
emptytube,16,13660,HIGH
emptytube,16,791,MED
emptytube,16,33,LOW
emptytube,17,13656,HIGH
emptytube,17,793,MED
emptytube,17,33,LOW
emptytube,18,13665,HIGH
emptytube,18,792,MED
emptytube,18,33,LOW
emptytube,19,13669,HIGH
emptytube,19,792,MED
emptytube,19,33,LOW
emptytube,20,13670,HIGH
emptytube,20,792,MED
emptytube,20,33,LOW
water,1,7360,HIGH
water,1,425,MED
water,1,17,LOW
water,2,7380,HIGH
water,2,426,MED
water,2,17,LOW
water,3,7386,HIGH
water,3,426,MED
water,3,17,LOW
water,4,7397,HIGH
water,4,426,MED
water,4,17,LOW
water,5,7403,HIGH
water,5,427,MED
water,5,17,LOW
water,6,7407,HIGH
water,6,428,MED
water,6,17,LOW
water,7,7411,HIGH
water,7,427,MED
water,7,17,LOW
water,8,7410,HIGH
water,8,428,MED
water,8,17,LOW
water,9,7417,HIGH
water,9,428,MED
water,9,17,LOW
water,10,7419,HIGH
water,10,428,MED
water,10,17,LOW
water,11,7421,HIGH
water,11,428,MED
water,11,17,LOW
water,12,7423,HIGH
water,12,428,MED
water,12,17,LOW
water,13,7425,HIGH
water,13,427,MED
water,13,17,LOW
water,14,7427,HIGH
water,14,428,MED
water,14,17,LOW
water,15,7424,HIGH
water,15,428,MED
water,15,17,LOW
water,16,7429,HIGH
water,16,429,MED
water,16,17,LOW
water,17,7432,HIGH
water,17,429,MED
water,17,17,LOW
water,18,7432,HIGH
water,18,429,MED
water,18,17,LOW
water,19,7433,HIGH
water,19,429,MED
water,19,17,LOW
water,20,7434,HIGH
water,20,428,MED
water,20,17,LOW
ctrl_dye_water,1,4773,HIGH
ctrl_dye_water,1,276,MED
ctrl_dye_water,1,11,LOW
ctrl_dye_water,2,4787,HIGH
ctrl_dye_water,2,276,MED
ctrl_dye_water,2,11,LOW
ctrl_dye_water,3,4794,HIGH
ctrl_dye_water,3,276,MED
ctrl_dye_water,3,11,LOW
ctrl_dye_water,4,4796,HIGH
ctrl_dye_water,4,276,MED
ctrl_dye_water,4,11,LOW
ctrl_dye_water,5,4802,HIGH
ctrl_dye_water,5,277,MED
ctrl_dye_water,5,11,LOW
ctrl_dye_water,6,4805,HIGH
ctrl_dye_water,6,277,MED
ctrl_dye_water,6,11,LOW
ctrl_dye_water,7,4807,HIGH
ctrl_dye_water,7,278,MED
ctrl_dye_water,7,11,LOW
ctrl_dye_water,8,4810,HIGH
ctrl_dye_water,8,277,MED
ctrl_dye_water,8,11,LOW
ctrl_dye_water,9,4811,HIGH
ctrl_dye_water,9,277,MED
ctrl_dye_water,9,11,LOW
ctrl_dye_water,10,4813,HIGH
ctrl_dye_water,10,277,MED
ctrl_dye_water,10,11,LOW
ctrl_dye_water,11,4814,HIGH
ctrl_dye_water,11,277,MED
ctrl_dye_water,11,11,LOW
ctrl_dye_water,12,4815,HIGH
ctrl_dye_water,12,278,MED
ctrl_dye_water,12,11,LOW
ctrl_dye_water,13,4816,HIGH
ctrl_dye_water,13,278,MED
ctrl_dye_water,13,11,LOW
ctrl_dye_water,14,4817,HIGH
ctrl_dye_water,14,277,MED
ctrl_dye_water,14,11,LOW
ctrl_dye_water,15,4818,HIGH
ctrl_dye_water,15,278,MED
ctrl_dye_water,15,11,LOW
ctrl_dye_water,16,4816,HIGH
ctrl_dye_water,16,278,MED
ctrl_dye_water,16,11,LOW
ctrl_dye_water,17,4820,HIGH
ctrl_dye_water,17,278,MED
ctrl_dye_water,17,11,LOW
ctrl_dye_water,18,4821,HIGH
ctrl_dye_water,18,278,MED
ctrl_dye_water,18,11,LOW
ctrl_dye_water,19,4819,HIGH
ctrl_dye_water,19,278,MED
ctrl_dye_water,19,11,LOW
ctrl_dye_water,20,4822,HIGH
ctrl_dye_water,20,278,MED
ctrl_dye_water,20,11,LOW
TU1,1,28609,HIGH
TU1,1,1662,MED
TU1,1,69,LOW
TU1,2,28666,HIGH
TU1,2,1665,MED
TU1,2,69,LOW
TU1,3,28696,HIGH
TU1,3,1666,MED
TU1,3,69,LOW
TU1,4,28686,HIGH
TU1,4,1668,MED
TU1,4,69,LOW
TU1,5,28720,HIGH
TU1,5,1668,MED
TU1,5,69,LOW
TU1,6,28729,HIGH
TU1,6,1668,MED
TU1,6,69,LOW
TU1,7,28736,HIGH
TU1,7,1669,MED
TU1,7,69,LOW
TU1,8,28743,HIGH
TU1,8,1669,MED
TU1,8,69,LOW
TU1,9,28748,HIGH
TU1,9,1669,MED
TU1,9,69,LOW
TU1,10,28750,HIGH
TU1,10,1670,MED
TU1,10,69,LOW
TU1,11,28755,HIGH
TU1,11,1669,MED
TU1,11,69,LOW
TU1,12,28754,HIGH
TU1,12,1670,MED
TU1,12,69,LOW
TU1,13,28760,HIGH
TU1,13,1669,MED
TU1,13,69,LOW
TU1,14,28766,HIGH
TU1,14,1670,MED
TU1,14,69,LOW
TU1,15,28767,HIGH
TU1,15,1671,MED
TU1,15,69,LOW
TU1,16,28768,HIGH
TU1,16,1671,MED
TU1,16,69,LOW
TU1,17,28770,HIGH
TU1,17,1670,MED
TU1,17,69,LOW
TU1,18,28741,HIGH
TU1,18,1670,MED
TU1,18,69,LOW
TU1,19,28772,HIGH
TU1,19,1670,MED
TU1,19,69,LOW
TU1,20,28773,HIGH
TU1,20,1671,MED
TU1,20,69,LOW
TU2,1,16409,HIGH
TU2,1,955,MED
TU2,1,39,LOW
TU2,2,16453,HIGH
TU2,2,957,MED
TU2,2,40,LOW
TU2,3,16503,HIGH
TU2,3,960,MED
TU2,3,40,LOW
TU2,4,16535,HIGH
TU2,4,962,MED
TU2,4,40,LOW
TU2,5,16571,HIGH
TU2,5,964,MED
TU2,5,40,LOW
TU2,6,16599,HIGH
TU2,6,965,MED
TU2,6,40,LOW
TU2,7,16629,HIGH
TU2,7,966,MED
TU2,7,40,LOW
TU2,8,16655,HIGH
TU2,8,969,MED
TU2,8,40,LOW
TU2,9,16681,HIGH
TU2,9,970,MED
TU2,9,40,LOW
TU2,10,16709,HIGH
TU2,10,971,MED
TU2,10,40,LOW
TU2,11,16731,HIGH
TU2,11,973,MED
TU2,11,40,LOW
TU2,12,16755,HIGH
TU2,12,975,MED
TU2,12,40,LOW
TU2,13,16778,HIGH
TU2,13,976,MED
TU2,13,40,LOW
TU2,14,16801,HIGH
TU2,14,977,MED
TU2,14,40,LOW
TU2,15,16822,HIGH
TU2,15,978,MED
TU2,15,40,LOW
TU2,16,16843,HIGH
TU2,16,979,MED
TU2,16,40,LOW
TU2,17,16863,HIGH
TU2,17,981,MED
TU2,17,41,LOW
TU2,18,16884,HIGH
TU2,18,981,MED
TU2,18,41,LOW
TU2,19,16904,HIGH
TU2,19,983,MED
TU2,19,41,LOW
TU2,20,16924,HIGH
TU2,20,984,MED
TU2,20,40,LOW
TU3,1,8043,HIGH
TU3,1,469,MED
TU3,1,19,LOW
TU3,2,8078,HIGH
TU3,2,471,MED
TU3,2,19,LOW
TU3,3,8101,HIGH
TU3,3,472,MED
TU3,3,19,LOW
TU3,4,8121,HIGH
TU3,4,473,MED
TU3,4,19,LOW
TU3,5,8141,HIGH
TU3,5,474,MED
TU3,5,19,LOW
TU3,6,8156,HIGH
TU3,6,474,MED
TU3,6,19,LOW
TU3,7,8175,HIGH
TU3,7,476,MED
TU3,7,19,LOW
TU3,8,8192,HIGH
TU3,8,477,MED
TU3,8,19,LOW
TU3,9,8208,HIGH
TU3,9,478,MED
TU3,9,19,LOW
TU3,10,8221,HIGH
TU3,10,479,MED
TU3,10,20,LOW
TU3,11,8236,HIGH
TU3,11,480,MED
TU3,11,20,LOW
TU3,12,8248,HIGH
TU3,12,480,MED
TU3,12,20,LOW
TU3,13,8260,HIGH
TU3,13,481,MED
TU3,13,20,LOW
TU3,14,8272,HIGH
TU3,14,482,MED
TU3,14,20,LOW
TU3,15,8283,HIGH
TU3,15,482,MED
TU3,15,20,LOW
TU3,16,8293,HIGH
TU3,16,482,MED
TU3,16,20,LOW
TU3,17,8302,HIGH
TU3,17,484,MED
TU3,17,20,LOW
TU3,18,8311,HIGH
TU3,18,484,MED
