# 23.04.2018
# Two-fold dilution series with text marker and tap water
# Twenty values recorded for each sample
# Each tube has 50ul
#
# S1 100ul US
# S2 50ul water + 50ul S1
# S3 50ul water + 50ul S2
# S4 50ul water + 50ul S3
# S5 50ul water + 50ul S4
# S6 50ul water + 50ul S5
# S7 50ul water + 50ul S6
# S8
# S9
# S10
# S11
# S12
# S13
# S14
# S15
# S16
S14,16,20721
S14,17,20720
S14,18,20720
S14,19,20722
S14,20,20715
S15,1,19496
S15,2,19488
S15,3,19491
S15,4,19485
S15,5,19476
S15,6,19490
S15,7,19495
S15,8,19491
S15,9,19489
S15,10,19482
S15,11,19480
S15,12,19479
S15,13,19466
S15,14,19470
S15,15,19476
S15,16,19479
S15,17,19478
S15,18,19471
S15,19,19466
S15,20,19484
S16,1,17987
S16,2,17988
S16,3,17985
S16,4,17990
S16,5,17974
S16,6,17986
S16,7,17982
S16,8,17981
S16,9,17979
S16,10,17978
S16,11,17979
S16,12,17979
S16,13,17980
S16,14,17978
S16,15,17981
S16,16,17978
S16,17,17980
S16,18,17981
S16,19,17969
S16,20,17982

