name,seqid,value,gain
# 25.06.2018
# Integration time: 600ms
# Taking 10 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# Text marker test, two-fold serial dilution, 1: pure text marker
# Filter: 510nm acrylic
emptybox,1,32268,MAX
emptybox,1,1397,HIGH
emptybox,1,72,MED
emptybox,1,3,LOW
emptybox,2,32588,MAX
emptybox,2,1406,HIGH
emptybox,2,73,MED
emptybox,2,3,LOW
emptybox,3,32712,MAX
emptybox,3,1410,HIGH
emptybox,3,73,MED
emptybox,3,3,LOW
emptybox,4,32806,MAX
emptybox,4,1414,HIGH
emptybox,4,73,MED
emptybox,4,3,LOW
emptybox,5,32868,MAX
emptybox,5,1417,HIGH
emptybox,5,73,MED
emptybox,5,3,LOW
emptybox,6,32926,MAX
emptybox,6,1418,HIGH
emptybox,6,73,MED
emptybox,6,3,LOW
emptybox,7,32973,MAX
emptybox,7,1420,HIGH
emptybox,7,73,MED
emptybox,7,3,LOW
emptybox,8,33015,MAX
emptybox,8,1422,HIGH
emptybox,8,73,MED
emptybox,8,3,LOW
emptybox,9,33050,MAX
emptybox,9,1423,HIGH
emptybox,9,74,MED
emptybox,9,3,LOW
emptybox,10,33082,MAX
emptybox,10,1425,HIGH
emptybox,10,74,MED
emptybox,10,3,LOW
emptytube,1,23762,HIGH
emptytube,1,1367,MED
emptytube,1,56,LOW
emptytube,2,23886,HIGH
emptytube,2,1373,MED
emptytube,2,57,LOW
emptytube,3,23947,HIGH
emptytube,3,1376,MED
emptytube,3,57,LOW
emptytube,4,23984,HIGH
emptytube,4,1379,MED
emptytube,4,57,LOW
emptytube,5,24014,HIGH
emptytube,5,1381,MED
emptytube,5,57,LOW
emptytube,6,24040,HIGH
emptytube,6,1383,MED
emptytube,6,57,LOW
emptytube,7,24061,HIGH
emptytube,7,1383,MED
emptytube,7,57,LOW
emptytube,8,24075,HIGH
emptytube,8,1385,MED
emptytube,8,57,LOW
emptytube,9,24089,HIGH
emptytube,9,1386,MED
emptytube,9,57,LOW
emptytube,10,24102,HIGH
emptytube,10,1386,MED
emptytube,10,57,LOW
water,1,7807,HIGH
water,1,442,MED
water,1,18,LOW
water,2,7846,HIGH
water,2,444,MED
water,2,18,LOW
water,3,7866,HIGH
water,3,445,MED
water,3,18,LOW
water,4,7880,HIGH
water,4,446,MED
water,4,18,LOW
water,5,7889,HIGH
water,5,446,MED
water,5,18,LOW
water,6,7896,HIGH
water,6,447,MED
water,6,18,LOW
water,7,7902,HIGH
water,7,447,MED
water,7,18,LOW
water,8,7907,HIGH
water,8,447,MED
water,8,18,LOW
water,9,7911,HIGH
water,9,447,MED
water,9,18,LOW
water,10,7916,HIGH
water,10,448,MED
water,10,18,LOW
S6,1,11958,MED
S6,1,496,LOW
S6,2,11992,MED
S6,2,497,LOW
S6,3,12014,MED
S6,3,498,LOW
S6,4,12025,MED
S6,4,498,LOW
S6,5,12033,MED
S6,5,499,LOW
S6,6,12043,MED
S6,6,499,LOW
S6,7,12047,MED
S6,7,499,LOW
S6,8,12042,MED
S6,8,499,LOW
S6,9,12045,MED
S6,9,499,LOW
S6,10,12058,MED
S6,10,499,LOW
S7,1,10812,MED
S7,1,449,LOW
S7,2,10874,MED
S7,2,451,LOW
S7,3,10900,MED
S7,3,452,LOW
S7,4,10921,MED
S7,4,453,LOW
S7,5,10934,MED
S7,5,453,LOW
S7,6,10951,MED
S7,6,454,LOW
S7,7,10962,MED
S7,7,454,LOW
S7,8,10970,MED
S7,8,455,LOW
S7,9,10964,MED
S7,9,455,LOW
S7,10,10987,MED
S7,10,455,LOW
S8,1,9456,MED
S8,1,393,LOW
S8,2,9496,MED
S8,2,393,LOW
S8,3,9510,MED
S8,3,394,LOW
S8,4,9521,MED
S8,4,395,LOW
S8,5,9517,MED
S8,5,395,LOW
S8,6,9532,MED
S8,6,395,LOW
S8,7,9539,MED
S8,7,395,LOW
S8,8,9544,MED
S8,8,395,LOW
S8,9,9548,MED
S8,9,395,LOW
S8,10,9550,MED
S8,10,396,LOW
S9,1,7629,MED
S9,1,316,LOW
S9,2,7657,MED
S9,2,317,LOW
S9,3,7672,MED
S9,3,318,LOW
S9,4,7681,MED
S9,4,318,LOW
S9,5,7687,MED
S9,5,318,LOW
S9,6,7691,MED
S9,6,319,LOW
S9,7,7695,MED
S9,7,319,LOW
S9,8,7700,MED
S9,8,319,LOW
S9,9,7703,MED
S9,9,319,LOW
S9,10,7702,MED
S9,10,319,LOW
S10,1,5447,MED
S10,1,226,LOW
S10,2,5473,MED
S10,2,227,LOW
S10,3,5489,MED
S10,3,227,LOW
S10,4,5499,MED
S10,4,228,LOW
S10,5,5509,MED
S10,5,228,LOW
S10,6,5515,MED
S10,6,228,LOW
S10,7,5521,MED
S10,7,229,LOW
S10,8,5525,MED
S10,8,229,LOW
S10,9,5527,MED
S10,9,229,LOW
S10,10,5528,MED
S10,10,229,LOW
S11,1,3828,MED
S11,1,159,LOW
S11,2,3844,MED
S11,2,159,LOW
S11,3,3852,MED
S11,3,159,LOW
S11,4,3856,MED
S11,4,160,LOW
S11,5,3860,MED
S11,5,160,LOW
S11,6,3863,MED
S11,6,160,LOW
S11,7,3862,MED
S11,7,160,LOW
S11,8,3866,MED
S11,8,160,LOW
S11,9,3867,MED
S11,9,160,LOW
S11,10,3868,MED
S11,10,160,LOW
S12,1,45053,HIGH
S12,1,2610,MED
S12,1,108,LOW
S12,2,45269,HIGH
S12,2,2620,MED
S12,2,108,LOW
S12,3,45356,HIGH
S12,3,2623,MED
S12,3,108,LOW
S12,4,45403,HIGH
S12,4,2626,MED
S12,4,109,LOW
S12,5,45443,HIGH
S12,5,2626,MED
S12,5,109,LOW
S12,6,45470,HIGH
S12,6,2630,MED
S12,6,109,LOW
S12,7,45491,HIGH
S12,7,2632,MED
S12,7,108,LOW
S12,8,45498,HIGH
S12,8,2631,MED
S12,8,109,LOW
S12,9,45514,HIGH
S12,9,2633,MED
S12,9,109,LOW
S12,10,45522,HIGH
S12,10,2633,MED
S12,10,109,LOW
S13,1,28009,HIGH
S13,1,1621,MED
S13,1,67,LOW
S13,2,28219,HIGH
S13,2,1632,MED
S13,2,67,LOW
S13,3,28323,HIGH
S13,3,1637,MED
S13,3,68,LOW
S13,4,28387,HIGH
S13,4,1640,MED
S13,4,68,LOW
S13,5,28443,HIGH
S13,5,1643,MED
S13,5,68,LOW
S13,6,28486,HIGH
S13,6,1647,MED
S13,6,68,LOW
S13,7,28531,HIGH
S13,7,1649,MED
S13,7,68,LOW
S13,8,28566,HIGH
S13,8,1650,MED
S13,8,68,LOW
S13,9,28586,HIGH
S13,9,1652,MED
S13,9,68,LOW
S13,10,28603,HIGH
S13,10,1654,MED
S13,10,68,LOW
S14,1,18844,HIGH
S14,1,1086,MED
S14,1,45,LOW
S14,2,18948,HIGH
S14,2,1090,MED
S14,2,45,LOW
S14,3,18987,HIGH
S14,3,1093,MED
S14,3,45,LOW
S14,4,19029,HIGH
S14,4,1094,MED
S14,4,45,LOW
S14,5,19051,HIGH
S14,5,1097,MED
S14,5,45,LOW
S14,6,19070,HIGH
S14,6,1097,MED
S14,6,45,LOW
S14,7,19085,HIGH
S14,7,1098,MED
S14,7,45,LOW
S14,8,19102,HIGH
S14,8,1099,MED
S14,8,45,LOW
S14,9,19112,HIGH
S14,9,1100,MED
S14,9,45,LOW
S14,10,19123,HIGH
S14,10,1101,MED
S14,10,45,LOW
S15,1,13819,HIGH
S15,1,801,MED
S15,1,33,LOW
S15,2,13887,HIGH
S15,2,803,MED
S15,2,33,LOW
S15,3,13915,HIGH
S15,3,805,MED
S15,3,33,LOW
S15,4,13923,HIGH
S15,4,805,MED
S15,4,33,LOW
S15,5,13945,HIGH
S15,5,806,MED
S15,5,33,LOW
S15,6,13956,HIGH
S15,6,807,MED
S15,6,33,LOW
S15,7,13963,HIGH
S15,7,807,MED
S15,7,33,LOW
S15,8,13969,HIGH
S15,8,808,MED
S15,8,33,LOW
S15,9,13976,HIGH
S15,9,808,MED
S15,9,33,LOW
S15,10,13978,HIGH
S15,10,808,MED
S15,10,33,LOW
S16,1,9413,HIGH
S16,1,541,MED
S16,1,22,LOW
S16,2,9460,HIGH
S16,2,543,MED
S16,2,22,LOW
S16,3,9483,HIGH
S16,3,544,MED
S16,3,22,LOW
S16,4,9499,HIGH
S16,4,545,MED
S16,4,22,LOW
S16,5,9512,HIGH
S16,5,545,MED
S16,5,22,LOW
S16,6,9522,HIGH
S16,6,547,MED
S16,6,22,LOW
S16,7,9529,HIGH
S16,7,547,MED
S16,7,22,LOW
S16,8,9534,HIGH
S16,8,548,MED
S16,8,22,LOW
S16,9,9535,HIGH
S16,9,547,MED
S16,9,22,LOW
S16,10,9545,HIGH
S16,10,548,MED
S16,10,22,LOW

