name,seqid,value,gain
# 29.06.2018
# Modified device: filter is now embedded in sensor holder; sensor back at original distance (closer than previous iteration)
# Integration time: 600ms
# Taking 10 measurements each
# Captured with the code version:
# https://github.com/diy-fluorometer/aolw2018-capetown/tree/master/code/gainTest, commit 1150cda
# Text marker test, two-fold serial dilution, 1: pure text marker
# Filter: 510nm acrylic
# Using left-over samples from TM1
emptybox,1,14442,MAX
emptybox,1,627,HIGH
emptybox,1,36,MED
emptybox,1,1,LOW
emptybox,2,14588,MAX
emptybox,2,631,HIGH
emptybox,2,36,MED
emptybox,2,1,LOW
emptybox,3,14638,MAX
emptybox,3,633,HIGH
emptybox,3,36,MED
emptybox,3,1,LOW
emptybox,4,14673,MAX
emptybox,4,634,HIGH
emptybox,4,36,MED
emptybox,4,1,LOW
emptybox,5,14709,MAX
emptybox,5,636,HIGH
emptybox,5,37,MED
emptybox,5,1,LOW
emptybox,6,14729,MAX
emptybox,6,637,HIGH
emptybox,6,37,MED
emptybox,6,1,LOW
emptybox,7,14757,MAX
emptybox,7,637,HIGH
emptybox,7,37,MED
emptybox,7,1,LOW
emptybox,8,14764,MAX
emptybox,8,638,HIGH
emptybox,8,36,MED
emptybox,8,1,LOW
emptybox,9,14782,MAX
emptybox,9,638,HIGH
emptybox,9,37,MED
emptybox,9,1,LOW
emptybox,10,14791,MAX
emptybox,10,639,HIGH
emptybox,10,37,MED
emptybox,10,1,LOW
emptytube,1,20957,HIGH
emptytube,1,1219,MED
emptytube,1,50,LOW
emptytube,2,21086,HIGH
emptytube,2,1225,MED
emptytube,2,51,LOW
emptytube,3,21144,HIGH
emptytube,3,1228,MED
emptytube,3,51,LOW
emptytube,4,21186,HIGH
emptytube,4,1230,MED
emptytube,4,51,LOW
emptytube,5,21217,HIGH
emptytube,5,1232,MED
emptytube,5,51,LOW
emptytube,6,21244,HIGH
emptytube,6,1232,MED
emptytube,6,51,LOW
emptytube,7,21264,HIGH
emptytube,7,1234,MED
emptytube,7,51,LOW
emptytube,8,21283,HIGH
emptytube,8,1235,MED
emptytube,8,51,LOW
emptytube,9,21297,HIGH
emptytube,9,1237,MED
emptytube,9,51,LOW
emptytube,10,21310,HIGH
emptytube,10,1237,MED
emptytube,10,51,LOW
water,1,6501,HIGH
water,1,374,MED
water,1,15,LOW
water,2,6531,HIGH
water,2,375,MED
water,2,15,LOW
water,3,6547,HIGH
water,3,377,MED
water,3,15,LOW
water,4,6550,HIGH
water,4,378,MED
water,4,15,LOW
water,5,6573,HIGH
water,5,378,MED
water,5,15,LOW
water,6,6584,HIGH
water,6,379,MED
water,6,15,LOW
water,7,6594,HIGH
water,7,379,MED
water,7,15,LOW
water,8,6601,HIGH
water,8,380,MED
water,8,15,LOW
water,9,6609,HIGH
water,9,380,MED
water,9,15,LOW
water,10,6617,HIGH
water,10,381,MED
water,10,15,LOW
S6,1,8585,MED
S6,1,357,LOW
S6,2,8613,MED
S6,2,358,LOW
S6,3,8645,MED
S6,3,359,LOW
S6,4,8657,MED
S6,4,359,LOW
S6,5,8668,MED
S6,5,360,LOW
S6,6,8679,MED
S6,6,360,LOW
S6,7,8686,MED
S6,7,360,LOW
S6,8,8691,MED
S6,8,360,LOW
S6,9,8700,MED
S6,9,361,LOW
S6,10,8704,MED
S6,10,361,LOW
S7,1,9177,MED
S7,1,381,LOW
S7,2,9210,MED
S7,2,382,LOW
S7,3,9228,MED
S7,3,382,LOW
S7,4,9239,MED
S7,4,383,LOW
S7,5,9248,MED
S7,5,384,LOW
S7,6,9259,MED
S7,6,384,LOW
S7,7,9254,MED
S7,7,384,LOW
S7,8,9260,MED
S7,8,384,LOW
S7,9,9274,MED
S7,9,384,LOW
S7,10,9278,MED
S7,10,384,LOW
S8,1,8018,MED
S8,1,333,LOW
S8,2,8070,MED
S8,2,335,LOW
S8,3,8094,MED
S8,3,336,LOW
S8,4,8122,MED
S8,4,337,LOW
S8,5,8143,MED
S8,5,338,LOW
S8,6,8163,MED
S8,6,338,LOW
S8,7,8182,MED
S8,7,339,LOW
S8,8,8199,MED
S8,8,340,LOW
S8,9,8214,MED
S8,9,341,LOW
S8,10,8230,MED
S8,10,341,LOW
S9,1,6009,MED
S9,1,249,LOW
S9,2,6049,MED
S9,2,251,LOW
S9,3,6082,MED
S9,3,252,LOW
S9,4,6107,MED
S9,4,253,LOW
S9,5,6129,MED
S9,5,254,LOW
S9,6,6144,MED
S9,6,255,LOW
S9,7,6158,MED
S9,7,255,LOW
S9,8,6170,MED
S9,8,256,LOW
S9,9,6188,MED
S9,9,256,LOW
S9,10,6194,MED
S9,10,257,LOW
S10,1,4780,MED
S10,1,198,LOW
S10,2,4808,MED
S10,2,199,LOW
S10,3,4823,MED
S10,3,200,LOW
S10,4,4834,MED
S10,4,200,LOW
S10,5,4840,MED
S10,5,200,LOW
S10,6,4847,MED
S10,6,201,LOW
S10,7,4854,MED
S10,7,201,LOW
S10,8,4860,MED
S10,8,201,LOW
S10,9,4864,MED
S10,9,202,LOW
S10,10,4871,MED
S10,10,202,LOW
S11,1,55592,HIGH
S11,1,3243,MED
S11,1,134,LOW
S11,2,56001,HIGH
S11,2,3261,MED
S11,2,135,LOW
S11,3,56180,HIGH
S11,3,3270,MED
S11,3,135,LOW
S11,4,56309,HIGH
S11,4,3276,MED
S11,4,136,LOW
S11,5,56410,HIGH
S11,5,3281,MED
S11,5,136,LOW
S11,6,56380,HIGH
S11,6,3288,MED
S11,6,136,LOW
S11,7,56494,HIGH
S11,7,3291,MED
S11,7,136,LOW
S11,8,56555,HIGH
S11,8,3294,MED
S11,8,136,LOW
S11,9,56665,HIGH
S11,9,3295,MED
S11,9,136,LOW
S11,10,56707,HIGH
S11,10,3300,MED
S11,10,136,LOW
S12,1,32898,HIGH
S12,1,1927,MED
S12,1,80,LOW
S12,2,33056,HIGH
S12,2,1935,MED
S12,2,80,LOW
S12,3,33116,HIGH
S12,3,1936,MED
S12,3,80,LOW
S12,4,33154,HIGH
S12,4,1939,MED
S12,4,80,LOW
S12,5,33182,HIGH
S12,5,1940,MED
S12,5,80,LOW
S12,6,33210,HIGH
S12,6,1942,MED
S12,6,80,LOW
S12,7,33228,HIGH
S12,7,1943,MED
S12,7,80,LOW
S12,8,33242,HIGH
S12,8,1944,MED
S12,8,80,LOW
S12,9,33250,HIGH
S12,9,1944,MED
S12,9,80,LOW
S12,10,33249,HIGH
S12,10,1944,MED
S12,10,80,LOW
S13,1,20998,HIGH
S13,1,1209,MED
S13,1,50,LOW
S13,2,20972,HIGH
S13,2,1208,MED
S13,2,50,LOW
S13,3,20921,HIGH
S13,3,1205,MED
S13,3,50,LOW
S13,4,20904,HIGH
S13,4,1203,MED
S13,4,50,LOW
S13,5,20866,HIGH
S13,5,1203,MED
S13,5,50,LOW
S13,6,20908,HIGH
S13,6,1204,MED
S13,6,50,LOW
S13,7,20900,HIGH
S13,7,1203,MED
S13,7,49,LOW
S13,8,20885,HIGH
S13,8,1202,MED
S13,8,49,LOW
S13,9,20865,HIGH
S13,9,1203,MED
S13,9,49,LOW
S13,10,20880,HIGH
S13,10,1203,MED
S13,10,49,LOW
S14,1,14112,HIGH
S14,1,821,MED
S14,1,34,LOW
S14,2,14188,HIGH
S14,2,825,MED
S14,2,34,LOW
S14,3,14220,HIGH
S14,3,826,MED
S14,3,34,LOW
S14,4,14240,HIGH
S14,4,828,MED
S14,4,34,LOW
S14,5,14255,HIGH
S14,5,829,MED
S14,5,34,LOW
S14,6,14266,HIGH
S14,6,830,MED
S14,6,34,LOW
S14,7,14272,HIGH
S14,7,830,MED
S14,7,34,LOW
S14,8,14278,HIGH
S14,8,830,MED
S14,8,34,LOW
S14,9,14281,HIGH
S14,9,831,MED
S14,9,34,LOW
